RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zx,Zy
100,"TUB170904.5","TUB170904.5",2.2070000000000000e+01,1.7000000000000000e+02,9.0000000000000000e+01,4.5000000000000000e+00,8.3086000000000001e+02,3.0957999999999998e+02,7.1536000000000001e+02,9.7750000000000000e+01,6.8790000000000006e+01
101,"TUB1131135.4","TUB1131135.4",2.2600000000000001e+01,1.1300000000000000e+02,1.1300000000000000e+02,5.4000000000000004e+00,4.3257999999999998e+02,4.3257999999999998e+02,6.8213000000000000e+02,7.6230000000000004e+01,7.6230000000000004e+01
102,"TUB145825.4","TUB145825.4",2.3350000000000001e+01,1.4500000000000000e+02,8.2000000000000000e+01,5.4000000000000004e+00,6.4920000000000005e+02,2.6257999999999998e+02,5.7126999999999998e+02,8.9540000000000006e+01,6.4040000000000006e+01
103,"TUB1251255.0","TUB1251255.0",2.3359999999999999e+01,1.2500000000000000e+02,1.2500000000000000e+02,5.0000000000000000e+00,5.5262000000000000e+02,5.5262000000000000e+02,8.6399000000000001e+02,8.8420000000000002e+01,8.8420000000000002e+01
104,"TUB1301304.85","TUB1301304.85",2.3670000000000002e+01,1.3000000000000000e+02,1.3000000000000000e+02,4.9000000000000004e+00,6.0987000000000000e+02,6.0987000000000000e+02,9.4652999999999997e+02,9.3829999999999998e+01,9.3829999999999998e+01
105,"TUB170904.85","TUB170904.85",2.3670000000000002e+01,1.7000000000000000e+02,9.0000000000000000e+01,4.9000000000000004e+00,8.8558000000000004e+02,3.2931999999999999e+02,7.6336000000000001e+02,1.0419000000000000e+02,7.3180000000000007e+01
106,"TUB1321324.8","TUB1321324.8",2.3829999999999998e+01,1.3200000000000000e+02,1.3200000000000000e+02,4.7999999999999998e+00,6.3438999999999999e+02,6.3438999999999999e+02,9.8787000000000000e+02,9.6120000000000005e+01,9.6120000000000005e+01
107,"TUB172924.8","TUB172924.8",2.4420000000000002e+01,1.7200000000000000e+02,9.2000000000000000e+01,4.7999999999999998e+00,9.6007000000000005e+02,3.5895999999999998e+02,8.0214999999999998e+02,1.1164000000000000e+02,7.8030000000000001e+01
108,"TUB1131136.0","TUB1131136.0",2.4870000000000001e+01,1.1300000000000000e+02,1.1300000000000000e+02,6.0000000000000000e+00,4.6981000000000000e+02,4.6981000000000000e+02,7.4537000000000000e+02,8.2790000000000006e+01,8.2790000000000006e+01
109,"TUB1301305.4","TUB1301305.4",2.6160000000000000e+01,1.3000000000000000e+02,1.3000000000000000e+02,5.4000000000000004e+00,6.6698000000000002e+02,6.6698000000000002e+02,1.0394300000000001e+03,1.0261000000000000e+02,1.0261000000000000e+02
110,"TUB170905.4","TUB170905.4",2.6160000000000000e+01,1.7000000000000000e+02,9.0000000000000000e+01,5.4000000000000004e+00,9.6878999999999996e+02,3.5916000000000003e+02,8.3670000000000005e+02,1.1398000000000000e+02,7.9810000000000002e+01
111,"TUB1321325.4","TUB1321325.4",2.6590000000000000e+01,1.3200000000000000e+02,1.3200000000000000e+02,5.4000000000000004e+00,6.3438999999999999e+02,6.3438999999999999e+02,1.0957000000000000e+03,1.0608000000000000e+02,1.0608000000000000e+02
112,"TUB172925.4","TUB172925.4",2.7350000000000001e+01,1.7200000000000000e+02,9.2000000000000000e+01,5.4000000000000004e+00,1.0667000000000000e+03,3.9689999999999998e+02,8.8786000000000001e+02,1.2403000000000000e+02,8.6290000000000006e+01
113,"TUB1251256.0","TUB1251256.0",2.7629999999999999e+01,1.2500000000000000e+02,1.2500000000000000e+02,6.0000000000000000e+00,6.1088999999999999e+02,6.1088999999999999e+02,1.0110900000000000e+03,1.0254000000000001e+02,1.0254000000000001e+02
114,"TUB1501505.0","TUB1501505.0",2.8359999999999999e+01,1.5000000000000000e+02,1.5000000000000000e+02,5.0000000000000000e+00,9.8212000000000000e+02,9.8212000000000000e+02,1.5243000000000000e+03,1.3094999999999999e+02,1.3094999999999999e+02
115,"TUB1321326.0","TUB1321326.0",2.9309999999999999e+01,1.3200000000000000e+02,1.3200000000000000e+02,6.0000000000000000e+00,7.6298000000000002e+02,7.6298000000000002e+02,1.2002200000000000e+03,1.1559999999999999e+02,1.1559999999999999e+02
116,"TUB1501506.0","TUB1501506.0",3.3630000000000003e+01,1.5000000000000000e+02,1.5000000000000000e+02,6.0000000000000000e+00,1.1459100000000001e+03,1.1459100000000001e+03,1.7915799999999999e+03,1.5278999999999999e+02,1.5278999999999999e+02
