RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy
162,"I125012A40040","I125012A40040",6.7300000000000000e+02,1.3300000000000000e+03,4.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,2.2174760000000000e+06,1.9980000000000000e+03,0.0000000000000000e+00,5.1919000000000000e+04,3.7122000000000000e+04,4.2620000000000000e+03
163,"I125012A50032","I125012A50032",6.7300000000000000e+02,1.3140000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,2.2008620000000000e+06,1.3840000000000000e+03,0.0000000000000000e+00,7.5919000000000000e+04,3.6994000000000000e+04,5.0620000000000000e+03
164,"I125012B55032","I125012B55032",6.7300000000000000e+02,1.3140000000000000e+03,5.5000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,2.2649020000000000e+06,1.4020000000000000e+03,0.0000000000000000e+00,1.0611100000000000e+05,3.6700000000000000e+04,5.3710000000000000e+03
165,"I160016B50025","I160016B50025",6.7700000000000000e+02,1.6500000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,2.5000000000000000e+01,3.2330760000000000e+06,8.6800000000000000e+02,0.0000000000000000e+00,7.0037000000000000e+04,4.2994000000000000e+04,3.7470000000000000e+03
166,"I160012C50025","I160012C50025",6.8100000000000000e+02,1.6500000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,2.5000000000000000e+01,3.4511830000000000e+06,8.7100000000000000e+02,0.0000000000000000e+00,7.3024000000000000e+04,4.5590000000000000e+04,4.2540000000000000e+03
167,"I100016A40040","I100016A40040",6.8300000000000000e+02,1.0800000000000000e+03,4.0000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,1.4260490000000000e+06,2.0620000000000000e+03,0.0000000000000000e+00,5.2348000000000000e+04,2.9896000000000000e+04,4.3220000000000000e+03
168,"I160012B50032","I160012B50032",6.8300000000000000e+02,1.6640000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,3.5770340000000000e+06,1.3130000000000000e+03,0.0000000000000000e+00,8.4049000000000000e+04,4.6234000000000000e+04,4.5430000000000000e+03
169,"I100016A50032","I100016A50032",6.8300000000000000e+02,1.0640000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,1.4126350000000000e+06,1.4480000000000000e+03,0.0000000000000000e+00,7.6348000000000000e+04,2.9768000000000000e+04,5.1220000000000000e+03
170,"I100016B55032","I100016B55032",6.8300000000000000e+02,1.0640000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,1.4627020000000000e+06,1.4660000000000000e+03,0.0000000000000000e+00,1.0666700000000000e+05,2.9475000000000000e+04,5.4240000000000000e+03
171,"I125016B50032","I125016B50032",6.9100000000000000e+02,1.3140000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,2.1984970000000000e+06,1.3910000000000000e+03,0.0000000000000000e+00,8.4608000000000000e+04,3.6211000000000000e+04,4.6000000000000000e+03
172,"I160016D50016","I160016D50016",6.9100000000000000e+02,1.6320000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,1.6000000000000000e+01,3.1242480000000000e+06,6.5200000000000000e+02,0.0000000000000000e+00,5.5052000000000000e+04,4.3613000000000000e+04,3.8800000000000000e+03
173,"I100012B50040","I100012B50040",6.9100000000000000e+02,1.0800000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,1.5739800000000000e+06,2.3190000000000000e+03,0.0000000000000000e+00,1.0070700000000000e+05,3.1112000000000000e+04,5.5220000000000000e+03
174,"I160016C50020","I160016C50020",6.9500000000000000e+02,1.6400000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,2.0000000000000000e+01,3.2494620000000000e+06,7.4300000000000000e+02,0.0000000000000000e+00,6.3311000000000000e+04,4.4038000000000000e+04,3.7220000000000000e+03
175,"I80012A50040","I80012A50040",6.9900000000000000e+02,8.8000000000000000e+02,5.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,1.0192950000000000e+06,2.3990000000000000e+03,0.0000000000000000e+00,9.2579000000000000e+04,2.5946000000000000e+04,6.0460000000000000e+03
176,"I80016B50040","I80016B50040",6.9900000000000000e+02,8.8000000000000000e+02,5.0000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,1.0198370000000000e+06,2.3710000000000000e+03,0.0000000000000000e+00,1.0126000000000000e+05,2.4962000000000000e+04,5.5710000000000000e+03
177,"I160016B55025","I160016B55025",7.0200000000000000e+02,1.6500000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,2.5000000000000000e+01,3.3981280000000000e+06,9.2000000000000000e+02,0.0000000000000000e+00,8.7277000000000000e+04,4.5026000000000000e+04,4.4040000000000000e+03
178,"I160012C55025","I160012C55025",7.0600000000000000e+02,1.6500000000000000e+03,5.5000000000000000e+02,1.2000000000000000e+01,2.5000000000000000e+01,3.6162350000000000e+06,9.2300000000000000e+02,0.0000000000000000e+00,9.0263000000000000e+04,4.7621000000000000e+04,4.9100000000000000e+03
179,"I80012B55040","I80012B55040",7.0700000000000000e+02,8.8000000000000000e+02,5.5000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,1.0733840000000000e+06,2.5210000000000000e+03,0.0000000000000000e+00,1.2828800000000000e+05,2.6002000000000000e+04,6.5650000000000000e+03
180,"I160016A50025","I160016A50025",7.0900000000000000e+02,1.6500000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,2.5000000000000000e+01,3.3625970000000000e+06,9.5900000000000000e+02,0.0000000000000000e+00,6.1785000000000000e+04,4.5900000000000000e+04,4.2850000000000000e+03
181,"I160012A50032","I160012A50032",7.1500000000000000e+02,1.6640000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,3.7065550000000000e+06,1.4040000000000000e+03,0.0000000000000000e+00,7.5924000000000000e+04,4.9140000000000000e+04,5.0750000000000000e+03
182,"I160012B55032","I160012B55032",7.1500000000000000e+02,1.6640000000000000e+03,5.5000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,3.7901360000000000e+06,1.4220000000000000e+03,0.0000000000000000e+00,1.0611600000000000e+05,4.8845000000000000e+04,5.3830000000000000e+03
183,"I160012A40040","I160012A40040",7.1500000000000000e+02,1.6800000000000000e+03,4.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,3.7276490000000000e+06,2.0180000000000000e+03,0.0000000000000000e+00,5.1924000000000000e+04,4.9268000000000000e+04,4.2750000000000000e+03
