RECNO,Name,StaadName,D,B,T,AX,Rz,R1
84,"ISA80X80X8","ISA80X80X8",8.0000000000000000e+01,8.0000000000000000e+01,8.0000000000000000e+00,1.2210000000000001e+01,1.5500000000000000e+01,8.0000000000000000e+00
85,"ISA100X65X8","ISA100X65X8",1.0000000000000000e+02,6.5000000000000000e+01,8.0000000000000000e+00,1.2570000000000000e+01,1.3900000000000000e+01,8.0000000000000000e+00
86,"ISA125X95X6","ISA125X95X6",1.2500000000000000e+02,9.5000000000000000e+01,6.0000000000000000e+00,1.2859999999999999e+01,2.0300000000000001e+01,9.0000000000000000e+00
87,"ISA70X70X10","ISA70X70X10",7.0000000000000000e+01,7.0000000000000000e+01,1.0000000000000000e+01,1.3020000000000000e+01,1.3500000000000000e+01,7.0000000000000000e+00
88,"ISA100X75X8","ISA100X75X8",1.0000000000000000e+02,7.5000000000000000e+01,8.0000000000000000e+00,1.3359999999999999e+01,1.5900000000000000e+01,8.5000000000000000e+00
89,"ISA90X90X8","ISA90X90X8",9.0000000000000000e+01,9.0000000000000000e+01,8.0000000000000000e+00,1.3789999999999999e+01,1.7500000000000000e+01,8.5000000000000000e+00
90,"ISA90X60X10","ISA90X60X10",9.0000000000000000e+01,6.0000000000000000e+01,1.0000000000000000e+01,1.4010000000000000e+01,1.2699999999999999e+01,7.5000000000000000e+00
91,"ISA75X75X10","ISA75X75X10",7.5000000000000000e+01,7.5000000000000000e+01,1.0000000000000000e+01,1.4020000000000000e+01,1.4500000000000000e+01,7.0000000000000000e+00
92,"ISA80X80X10","ISA80X80X10",8.0000000000000000e+01,8.0000000000000000e+01,1.0000000000000000e+01,1.5050000000000001e+01,1.5500000000000000e+01,8.0000000000000000e+00
93,"ISA125X75X8","ISA125X75X8",1.2500000000000000e+02,7.5000000000000000e+01,8.0000000000000000e+00,1.5380000000000001e+01,1.6100000000000001e+01,9.0000000000000000e+00
94,"ISA100X100X8","ISA100X100X8",1.0000000000000000e+02,1.0000000000000000e+02,8.0000000000000000e+00,1.5390000000000001e+01,1.9500000000000000e+01,8.5000000000000000e+00
95,"ISA100X65X10","ISA100X65X10",1.0000000000000000e+02,6.5000000000000000e+01,1.0000000000000000e+01,1.5510000000000000e+01,1.3800000000000001e+01,8.0000000000000000e+00
96,"ISA100X75X10","ISA100X75X10",1.0000000000000000e+02,7.5000000000000000e+01,1.0000000000000000e+01,1.6500000000000000e+01,1.5800000000000001e+01,8.5000000000000000e+00
97,"ISA90X60X12","ISA90X60X12",9.0000000000000000e+01,6.0000000000000000e+01,1.2000000000000000e+01,1.6570000000000000e+01,1.2699999999999999e+01,7.5000000000000000e+00
98,"ISA125X95X8","ISA125X95X8",1.2500000000000000e+02,9.5000000000000000e+01,8.0000000000000000e+00,1.6980000000000000e+01,2.0199999999999999e+01,9.0000000000000000e+00
99,"ISA110X110X8","ISA110X110X8",1.1000000000000000e+02,1.1000000000000000e+02,8.0000000000000000e+00,1.7020000000000000e+01,2.1399999999999999e+01,1.0000000000000000e+01
100,"ISA90X90X10","ISA90X90X10",9.0000000000000000e+01,9.0000000000000000e+01,1.0000000000000000e+01,1.7030000000000001e+01,1.7399999999999999e+01,8.5000000000000000e+00
101,"ISA150X75X8","ISA150X75X8",1.5000000000000000e+02,7.5000000000000000e+01,8.0000000000000000e+00,1.7420000000000002e+01,1.6000000000000000e+01,1.0000000000000000e+01
102,"ISA80X80X12","ISA80X80X12",8.0000000000000000e+01,8.0000000000000000e+01,1.2000000000000000e+01,1.7809999999999999e+01,1.5400000000000000e+01,8.0000000000000000e+00
103,"ISA125X75X10","ISA125X75X10",1.2500000000000000e+02,7.5000000000000000e+01,1.0000000000000000e+01,1.9020000000000000e+01,1.6100000000000001e+01,9.0000000000000000e+00
